4|3997251.93|21
10|3169482.75|21
19|3427479.06|21
22|4158736.98|25
28|3157047.97|21
34|4115342.05|29
37|3887542.37|24
40|4550089.42|30
43|3629277.68|25
52|2954004.18|24
55|3992955.74|27
73|3013786.91|21
82|3252502.76|22
85|3148285.56|21
91|3161252.72|24
112|3834238.22|25
121|3234430.42|27
136|2553956.92|23
139|2441150.26|21
142|2838484.34|21
157|3616667.17|22
160|2734780.73|22
166|3100024.51|21
172|3387737.07|24
196|2232810.37|22
202|3747736.18|26
208|3538186.92|21
220|3134732.09|23
223|3505051.61|24
229|3991003.47|22
232|3444802.16|30
241|2458212.08|24
244|3209924.3|22
256|3346992.58|26
262|3747699.33|24
265|2652888.26|21
268|3564822.99|28
277|3824007.57|22
283|2768588.92|21
286|3109114.45|22
289|4112613.64|27
295|3162970.29|24
301|2759907.84|21
307|3466478.12|21
310|3465771.33|23
316|2900832.72|22
322|3390813.73|25
325|2883928.22|22
343|5111650.62|29
349|3354920.3|22
364|2863141.91|21
370|4017021.63|29
373|3612836.99|23
376|3828760.01|27
382|2629526.15|21
385|3517694.41|22
388|3142126.46|21
394|3603721.47|25
421|3208033.54|26
427|2960843.9|21
433|2874216.02|23
442|4771030.85|30
463|3119579.27|23
472|3759590.83|30
478|3251020.36|22
484|3154788.9|21
493|3752719.47|26
502|3575699.34|22
508|2966510.65|21
514|4167318.68|24
523|3016744.05|22
526|4352062.07|27
538|2593362.23|23
559|3979026.23|27
565|2214623.64|21
571|4874275.07|30
580|3021122.51|23
589|3329200.94|26
601|4013240.79|24
607|3772103.82|28
610|3158090.86|23
613|3009891.78|25
616|3323897.79|23
622|3309147.05|22
625|2807522.87|23
631|2560641.58|22
652|2139239.19|21
658|3728635.3|27
661|2530408.67|23
667|4079243.18|25
673|4156851.36|23
676|2407676.91|21
700|4168606.57|29
703|3755907.3|23
706|3901015.59|26
715|3108627.54|25
718|3863340.51|26
721|3949564.78|26
736|3951796.34|26
739|3504773.94|27
742|3574175.75|27
745|4179031.18|22
749|3082993.78|22
