1|3
1|5
3|2
3|6
7|3
96|1
101|1
131|1
132|4
163|5
164|6
225|7
226|4
228|1
256|2
258|2
260|4
288|5
289|3
289|5
291|3
292|1
293|2
295|3
295|4
356|1
359|4
386|1
416|2
417|3
422|1
422|4
448|3
448|4
449|2
453|3
453|4
455|1
484|1
515|2
581|3
581|4
583|2
583|4
610|1
612|6
615|1
642|1
643|5
645|3
645|6
646|6
647|2
675|3
705|2
708|6
709|4
711|1
711|3
740|1
768|4
768|6
771|1
772|1
773|4
774|2
775|1
801|1
838|1
838|3
871|1
928|4
930|1
961|1
963|2
992|1
992|3
992|6
994|4
998|2
1026|1
1026|2
1031|1
1057|1
1058|3
1089|3
1091|1
1122|1
1124|3
1125|2
1157|2
1159|3
1216|2
1220|1
1221|3
1221|5
1223|1
1248|6
1250|1
1252|1
1252|4
1281|7
1315|5
1316|3
1316|7
1344|1
1345|2
1346|3
1377|2
1377|5
1378|3
1382|3
1410|4
1412|2
1412|3
1414|1
1445|2
1445|3
1445|5
1446|1
1479|1
1506|3
1538|4
1540|5
1541|1
1541|2
1543|6
1569|3
1605|2
1606|5
1632|5
1636|6
1637|2
1698|6
1701|3
1702|6
1730|3
1731|1
1731|4
1731|5
1733|3
1762|2
1766|3
1794|5
1824|2
1827|6
1857|1
1857|2
1859|1
1861|2
1861|4
1862|1
1889|1
1892|3
1893|1
1893|5
1923|5
1956|4
1957|2
1985|1
1986|2
1989|1
1991|4
2017|1
2022|3
2023|3
2048|4
2049|2
2050|3
2050|7
2054|4
2087|2
2116|2
2117|1
2118|1
2146|1
2147|3
2151|4
2178|1
2210|1
2241|4
2246|3
2273|6
2276|6
2277|2
2307|1
2309|1
2342|2
2342|3
2368|4
2369|2
2373|4
2405|2
2437|6
2438|3
2465|3
2466|3
2466|6
2466|7
2498|1
2501|1
2501|3
2502|1
2528|3
2530|3
2531|6
2533|2
2534|3
2563|6
2565|4
2592|1
2592|2
2594|2
2596|3
2692|1
2720|1
2720|3
2723|3
2725|1
2753|1
2755|1
2757|3
2758|2
2759|1
2786|2
2791|1
2791|2
2818|1
2849|2
2849|5
2882|3
2885|1
2885|3
2913|2
2913|4
2915|1
2917|1
2918|1
2944|5
2950|2
2976|3
3008|1
3009|1
3014|4
3015|4
3043|3
3043|4
3079|5
3106|4
3109|6
3141|2
3169|4
3170|7
3175|1
3200|1
3200|4
3200|6
3201|1
3204|1
3204|2
3205|3
3207|1
3232|1
3235|2
3239|5
3270|2
3297|1
3298|3
3298|4
3332|1
3335|4
3360|4
3364|4
3392|3
3396|6
3426|2
3427|1
3429|4
3429|5
3456|1
3460|1
3461|6
3490|3
3494|2
3495|1
3521|5
3522|4
3556|3
3585|6
3617|4
3623|5
3648|3
3649|1
3649|6
3650|1
3650|4
3650|7
3653|4
3655|2
3685|4
3686|3
3686|4
3713|5
